A,B,C,D
1,25,-43.65,203.24
2,15,-42.9,103.36
3,8,-42.01,33.17
4,0,-40.9,-46.93
5,17,-39.7,123.33
6,25,-38.93,203.19
7,3,-37.63,-16.95
8,38,-36.78,332.98
9,22,-35.71,173.2
10,14,-34.94,93.21
11,29,-33.69,243.19
12,15,-33.02,103.31
13,5,-31.93,3.25
14,24,-31.01,193.37
15,26,-29.83,213.29
16,21,-28.66,163.31
17,34,-27.63,293.3
18,1,-26.72,-36.86
19,33,-25.9,283.37
20,7,-24.84,23.06
21,31,-23.94,262.99
22,4,-22.87,-7
23,29,-21.81,243.01
24,16,-20.65,113.02
25,8,-19.79,33.13
26,31,-18.66,263.02
27,24,-17.72,193.01
28,17,-16.79,123.31
29,25,-15.93,203.35
30,25,-14.86,203.06
31,33,-13.63,283.14
32,26,-12.67,213.21
33,20,-11.77,153.34
34,23,-10.69,183.32
35,20,-10.01,153.15
36,27,-8.69,223.12
37,31,-7.85,263.02
38,27,-6.76,223.18
39,20,-5.9,153.27
40,10,-4.65,53.35
41,18,-3.8,133.35
42,26,-2.94,213.3
43,1,-1.81,-36.93
44,38,-0.98,333.01
45,32,0.14,273.34
46,1,1.34,-36.73
47,15,2.25,103.37
48,12,3.04,73.23
49,24,4.17,193.35
50,13,5.27,83.24
51,10,6.37,53.06
52,39,7.15,343.07
53,24,8.16,193.28
54,33,9.06,283.24
55,28,9.98,233.33
56,25,11,203.29
57,6,12.07,13.08
58,5,13.11,3.07
59,23,14.35,183.26
60,12,15.08,73.07
61,39,16.11,343.06
62,39,17.02,343.15
63,0,18.26,-46.67
64,30,19.12,253.34
65,9,20,43.34
66,4,21.17,-6.72
67,27,22.24,222.98
68,29,23.21,243.11
69,38,24.36,333.09
70,26,25.09,213.11
71,27,26,223.24
72,35,27.31,303.21
73,4,28.32,-6.91
74,32,29.14,273.15
75,28,30.15,233.1
76,24,31.19,193.29
77,15,31.98,103.07
78,7,33.2,23.23
79,12,34.18,73.21
80,23,35.37,183.24
81,29,36.24,243.18
82,7,37.12,23.12
83,30,38.16,252.98
84,34,39.08,293.14
85,11,40.36,63.32
86,23,41.13,183.05
87,7,42.2,22.98
88,8,43.27,33.2
89,33,44.31,283.32
90,9,45.07,43.31
91,35,46.36,303.18
92,16,47.03,113.24
93,22,48.26,173.02
94,22,49.2,173.05
95,30,50.31,253.35
96,16,51.07,113.1
97,16,52.14,113.24
98,16,53.22,113.13
99,30,54.08,253.07
100,24,55.17,193.08
