A,B,C,D
1,35,37.33,514.12
2,5,41.04,94.24
3,1,45.25,38.36
4,5,49.17,94.18
5,9,53.01,150.17
6,33,57.11,486.27
7,8,61.16,136.09
8,30,65.09,444.24
9,17,68.98,262.1
10,30,73.13,444.35
11,17,77.08,262.31
12,31,81.06,458.29
13,17,84.99,262.08
14,7,89.05,122.28
15,19,93.14,290.23
16,39,96.99,570.36
17,28,101.07,416.07
18,39,105.29,570.1
19,17,109.07,262.02
20,29,113.29,430.17
21,26,117.06,388.27
22,11,121.37,178.27
23,34,125.07,500.21
24,5,129.14,94.28
25,27,133.34,402.36
26,12,137.25,192.29
27,2,141.13,52.3
28,3,145.04,66.22
29,7,149.21,122.31
30,11,153.02,178.14
31,30,157.28,444.23
32,12,161.32,192.14
33,33,165.26,486.15
34,16,169.23,248.24
35,38,173.02,556.12
36,36,177.14,527.99
37,19,181.09,290.06
38,12,185.04,192.12
39,36,189.12,528.27
40,21,193.15,318.31
41,37,197.06,542.13
42,14,201.1,220.07
43,23,205.03,346.28
44,0,209.12,24.05
45,26,213.1,388.1
46,32,216.99,472.18
47,33,221.18,486.21
48,1,225.22,38.28
49,7,229.18,122.02
50,36,233.31,528.11
51,29,237.29,430.19
52,37,241.35,542.23
53,38,245.1,556.21
54,28,249.11,416.35
55,28,253.29,415.99
56,0,257.22,24
57,12,261.07,192.13
58,36,265.09,528.37
59,26,269.08,388.1
60,22,273.05,332.03
61,35,277.26,514.26
62,9,281.23,150.24
63,34,285.22,500.36
64,9,289.02,150.01
65,38,293.22,556.25
66,0,297.22,24.09
67,34,301.27,500.18
68,1,305.23,38.21
69,1,309.01,38.32
70,5,313.23,94.31
71,10,317.1,164.11
72,39,321.19,570.37
73,17,325.06,262.13
74,7,329.07,122.09
75,3,333.06,66.34
76,30,337.06,444.1
77,33,341,485.99
78,5,345.34,94.24
79,21,349.35,318.19
80,15,353,234.04
81,0,357.02,24.09
82,13,361.33,206.3
83,4,365.1,80.3
84,11,369.1,178
85,23,373.13,346.08
86,11,377.35,178.08
87,23,381.28,346.02
88,17,385.33,261.98
89,35,389.14,514.27
90,17,393.21,262.21
91,15,397.13,234.26
92,26,401.27,388.21
93,11,405.31,178.26
94,3,409.35,66.3
95,37,413.1,542.05
96,39,417.21,570.02
97,9,421.36,150.24
98,14,425.13,220.11
99,14,429.09,220.28
100,4,433.18,80.03
